hostname,sysName,host,event_id,device_id,datetime,message,type,reference,username,severity
117.103.68.166,ccr_omadata,33,488942,33,2026-06-06 00:39:45,Fanspeed under threshold: 4530 rpm (< 5232 rpm),fanspeed,1751,,4
117.103.68.166,ccr_omadata,33,488943,33,2026-06-06 00:39:45,Fanspeed under threshold: 4290 rpm (< 4860 rpm),fanspeed,1752,,4
10.246.88.18,vyos,48,488944,48,2026-06-06 00:43:38,ifDescr:  -> ppp0,interface,41361,,3
10.246.88.18,vyos,48,488945,48,2026-06-06 00:43:38,ifAlias:  -> ppp0,interface,41361,,3
10.246.88.18,vyos,48,488946,48,2026-06-06 00:43:38,ifAdminStatus:  -> up,interface,41361,,3
10.246.88.18,vyos,48,488947,48,2026-06-06 00:43:38,ifOperStatus:  -> up,interface,41361,,3
10.246.88.18,vyos,48,488948,48,2026-06-06 00:43:38,ifMtu:  -> 1492,interface,41361,,3
10.246.88.18,vyos,48,488949,48,2026-06-06 00:43:38,ifType:  -> ppp,interface,41361,,3
10.246.88.18,vyos,48,488950,48,2026-06-06 00:43:38,ifConnectorPresent:  -> true,interface,41361,,3
117.103.68.166,ccr_omadata,33,488951,33,2026-06-06 01:04:52,Fanspeed under threshold: 4380 rpm (< 5232 rpm),fanspeed,1751,,4
117.103.68.166,ccr_omadata,33,488952,33,2026-06-06 01:04:52,Fanspeed under threshold: 4140 rpm (< 4860 rpm),fanspeed,1752,,4
10.246.88.18,vyos,48,488953,48,2026-06-06 01:13:41,ifDescr:  -> ppp0,interface,41362,,3
10.246.88.18,vyos,48,488954,48,2026-06-06 01:13:41,ifAlias:  -> ppp0,interface,41362,,3
10.246.88.18,vyos,48,488955,48,2026-06-06 01:13:41,ifAdminStatus:  -> up,interface,41362,,3
10.246.88.18,vyos,48,488956,48,2026-06-06 01:13:41,ifOperStatus:  -> up,interface,41362,,3
10.246.88.18,vyos,48,488957,48,2026-06-06 01:13:41,ifMtu:  -> 1492,interface,41362,,3
10.246.88.18,vyos,48,488958,48,2026-06-06 01:13:41,ifType:  -> ppp,interface,41362,,3
10.246.88.18,vyos,48,488959,48,2026-06-06 01:13:41,ifConnectorPresent:  -> true,interface,41362,,3
