device_id,hostname_y,datetime,Jam,Hari,type_x,severity,hardware,message,os
13,10.246.0.242,2026-06-07 00:18:10,0,Sunday,interface,3,,ifOperStatus: up -> down,zxa10
33,117.103.68.166,2026-06-07 00:37:47,0,Sunday,fanspeed,4,CCR1036-8G-2S+,Fanspeed under threshold: 4290 rpm (< 5232 rpm),routeros
33,117.103.68.166,2026-06-07 00:37:47,0,Sunday,fanspeed,4,CCR1036-8G-2S+,Fanspeed under threshold: 4065 rpm (< 4860 rpm),routeros
48,10.246.88.18,2026-06-07 00:41:59,0,Sunday,interface,3,,ifDescr:  -> ppp1,vyos
48,10.246.88.18,2026-06-07 00:41:59,0,Sunday,interface,3,,ifAlias:  -> ppp1,vyos
48,10.246.88.18,2026-06-07 00:41:59,0,Sunday,interface,3,,ifAdminStatus:  -> up,vyos
48,10.246.88.18,2026-06-07 00:41:59,0,Sunday,interface,3,,ifOperStatus:  -> up,vyos
48,10.246.88.18,2026-06-07 00:41:59,0,Sunday,interface,3,,ifMtu:  -> 1492,vyos
48,10.246.88.18,2026-06-07 00:41:59,0,Sunday,interface,3,,ifType:  -> ppp,vyos
48,10.246.88.18,2026-06-07 00:41:59,0,Sunday,interface,3,,ifConnectorPresent:  -> true,vyos
33,117.103.68.166,2026-06-07 00:52:48,0,Sunday,fanspeed,4,CCR1036-8G-2S+,Fanspeed under threshold: 4305 rpm (< 5232 rpm),routeros
33,117.103.68.166,2026-06-07 00:52:48,0,Sunday,fanspeed,4,CCR1036-8G-2S+,Fanspeed under threshold: 4065 rpm (< 4860 rpm),routeros
17,10.246.3.70,2026-06-07 01:00:27,1,Sunday,sensor,3,,Sensor Updated: current zxa10 1.1.2 Current Card,zxa10
17,10.246.3.70,2026-06-07 01:00:27,1,Sunday,sensor,3,,Sensor Updated: current zxa10 1.1.3 Current Card,zxa10
17,10.246.3.70,2026-06-07 01:00:27,1,Sunday,sensor,3,,Sensor Updated: current zxa10 1.1.4 Current Card,zxa10
17,10.246.3.70,2026-06-07 01:00:27,1,Sunday,sensor,3,,Sensor Updated: current zxa10 1.1.6 Current Card,zxa10
17,10.246.3.70,2026-06-07 01:00:27,1,Sunday,sensor,3,,Sensor Updated: current zxa10 1.1.5 Current Card,zxa10
