hostname_y,Total_Event,Severity_Score,Priority_Score
10.246.88.34,26747,80257,107004
10.246.3.70,2781,9294,12075
117.103.68.166,2144,8248,10392
117.103.68.238,2069,6220,8289
117.103.71.62,1427,4285,5712
10.246.15.202,1128,4486,5614
117.103.70.12,921,3082,4003
10.246.0.114,791,2479,3270
10.246.88.18,567,1701,2268
117.103.68.250,525,1575,2100
10.246.15.66,441,1658,2099
10.246.15.38,421,1259,1680
117.103.69.1,283,1035,1318
10.246.7.53,263,931,1194
10.246.1.50,222,723,945
10.246.3.30,230,689,919
10.246.2.126,210,661,871
10.246.0.242,206,618,824
117.103.69.10,201,598,799
10.246.3.82,157,509,666
10.246.3.74,158,474,632
10.246.2.218,113,339,452
10.246.15.90,81,272,353
10.246.2.154,87,263,350
10.246.6.98,55,163,218
10.246.1.38,55,159,214
10.246.5.162,35,114,149
10.246.15.18,36,105,141
10.246.15.110,36,104,140
10.246.15.22,21,58,79
117.103.70.74,5,14,19
10.246.2.178,5,14,19
10.246.2.78,3,7,10
117.103.68.6,2,6,8
