hostname_y,Jumlah Event
10.246.88.34,26747
10.246.3.70,2781
117.103.68.166,2144
117.103.68.238,2069
117.103.71.62,1427
10.246.15.202,1128
117.103.70.12,921
10.246.0.114,791
10.246.88.18,567
117.103.68.250,525
10.246.15.66,441
10.246.15.38,421
117.103.69.1,283
10.246.7.53,263
10.246.3.30,230
10.246.1.50,222
10.246.2.126,210
10.246.0.242,206
117.103.69.10,201
10.246.3.74,158
10.246.3.82,157
10.246.2.218,113
10.246.2.154,87
10.246.15.90,81
10.246.6.98,55
10.246.1.38,55
10.246.15.110,36
10.246.15.18,36
10.246.5.162,35
10.246.15.22,21
117.103.70.74,5
10.246.2.178,5
10.246.2.78,3
117.103.68.6,2
