message,Jumlah
ifAdminStatus:  -> up,4567
ifConnectorPresent:  -> true,4412
ifOperStatus:  -> up,4246
ifMtu:  -> 1492,3963
ifType:  -> ppp,3940
ifOperStatus: up -> down,657
ifOperStatus: down -> up,621
ifMtu:  -> 1500,603
ifSpeed: 0 bps -> 10 Gbps,548
ifType:  -> ethernetCsmacd,451
ifConnectorPresent:  -> false,400
ifConnectorPresent: false -> NULL,398
ifOperStatus:  -> down,333
Fanspeed under threshold: 4305 rpm (< 5232 rpm),276
Fanspeed under threshold: 4065 rpm (< 4860 rpm),237
ifAdminStatus:  -> down,224
ifDuplex:  -> fullDuplex,212
Fanspeed under threshold: 4050 rpm (< 4860 rpm),200
ifType:  -> gpon,184
STP designated root changed: 380e4daf0ab7 > ,181
ifType: gpon -> NULL,168
Fanspeed under threshold: 4290 rpm (< 5232 rpm),154
ifPhysAddress:  -> 000000000000,144
ifAdminStatus: up -> NULL,138
ifDescr:  -> ppp1,131
ifAlias:  -> ppp1,131
ifPhysAddress: 000000000000 -> NULL,128
ifMtu: 1500 -> NULL,124
ifAlias:  -> ppp26,124
ifDescr:  -> ppp26,124
ifAlias:  -> ppp18,112
ifDescr:  -> ppp18,112
ifSpeed: 10 Gbps -> 0 bps,110
ifAlias:  -> ppp28,108
ifAlias:  -> ppp41,108
ifDescr:  -> ppp41,108
ifDescr:  -> ppp28,108
ifDescr:  -> ppp100,92
ifAlias:  -> ppp100,92
ifMtu:  -> 0,90
STP designated root changed:  > 380e4daf0ab7,90
ifOperStatus: up -> NULL,89
ifDescr:  -> ppp63,86
ifAlias:  -> ppp63,86
ifDescr:  -> ppp56,83
ifAlias:  -> ppp56,83
ifDescr:  -> ppp53,82
ifAlias:  -> ppp53,82
ifAlias:  -> ppp8,66
ifDescr:  -> ppp8,66
Fanspeed under threshold: 4080 rpm (< 4860 rpm),65
ifAlias:  -> ppp9,62
ifAlias:  -> ppp43,62
ifDescr:  -> ppp43,62
ifDescr:  -> ppp9,62
ifAlias:  -> ppp23,58
ifDescr:  -> ppp23,58
ifOperStatus: down -> NULL,57
Temperature under threshold: 32 °C (< 33 °C),57
ifAlias:  -> ppp19,57
ifDescr:  -> ppp19,57
ifAlias:  -> ppp5,56
ifDescr:  -> ppp5,56
ifDescr:  -> ppp57,55
ifAlias:  -> ppp57,55
ifSpeed: 10 Gbps -> 4.29 Gbps,54
ifSpeed: 4.29 Gbps -> 10 Gbps,54
ifAdminStatus: down -> NULL,54
ifSpeed: 4.29 Gbps -> 100 Gbps,52
ifSpeed: 100 Gbps -> 4.29 Gbps,52
Fanspeed above threshold: 6870 rpm (> 6804 rpm),47
ifAlias:  -> ppp13,46
ifDescr:  -> ppp13,46
Fanspeed under threshold: 4320 rpm (< 5232 rpm),46
ifAlias:  -> ppp4,46
ifDescr:  -> ppp4,46
ifSpeed: 0 bps -> 40 Gbps,43
ifAlias:  -> ppp35,43
STP designated root changed:  > 70db983252d7,43
ifDescr:  -> ppp35,43
ifDescr:  -> ppp2,41
Fanspeed above threshold: 6900 rpm (> 6804 rpm),41
ifMtu:  -> 1450,41
ifAlias:  -> ppp2,41
STP designated root changed: 70db983252d7 > ,41
ifAlias:  -> ppp78,40
ifDescr:  -> ppp78,40
ifDescr:  -> ppp16,40
ifAlias:  -> ppp16,40
ifMtu:  -> 1600,40
Temperature under threshold: 31 °C (< 33 °C),39
Fanspeed under threshold: 4335 rpm (< 5232 rpm),39
Fanspeed above threshold: 6570 rpm (> 6480 rpm),38
ifSpeed: 40 Gbps -> 0 bps,38
ifType:  -> other,37
ifDescr:  -> ppp55,37
ifAlias:  -> ppp55,37
ifAlias:  -> ppp67,36
ifDescr:  -> ppp67,36
ifAlias:  -> ppp52,36
ifDescr:  -> ppp52,36
ifAlias:  -> ppp21,35
ifDescr:  -> ppp21,35
ifDescr:  -> ppp99,35
ifAlias:  -> ppp99,35
ifAlias:  -> <sstp-bandung>,34
ifDescr:  -> <sstp-bandung>,34
ifAlias:  -> ppp102,33
ifAlias:  -> ppp65,33
ifDescr:  -> ppp102,33
ifDescr:  -> ppp65,33
ifDescr:  -> ppp83,32
ifDescr:  -> ppp91,32
ifDescr:  -> ppp98,32
ifAlias:  -> ppp98,32
ifAlias:  -> ppp91,32
ifAlias:  -> ppp83,32
ifDescr:  -> ppp81,31
ifAlias:  -> ppp81,31
ifDescr:  -> ppp77,30
ifDescr:  -> ppp104,30
ifAlias:  -> ppp3,30
ifAlias:  -> ppp77,30
ifAlias:  -> ppp104,30
ifDescr:  -> ppp3,30
ifAlias:  -> ppp101,30
ifDescr:  -> ppp101,30
ifAdminStatus: up -> down,30
ifAlias:  -> ppp50,28
Device status changed to Down from snmp check.,28
Device status changed to Up from snmp check.,28
ifType: ethernetCsmacd -> NULL,28
ifDescr:  -> ppp50,28
Fanspeed under threshold: 4365 rpm (< 5232 rpm),28
ifType:  -> l2vlan,27
ifDescr:  -> ppp48,27
ifAlias:  -> ppp48,27
ifDescr:  -> <pptp-roy-1>,26
ifAlias:  -> <pptp-roy-1>,26
ifDescr:  -> ppp95,26
ifAlias:  -> ppp95,26
ifMtu: 1450 -> 0,25
Device status changed to Down from icmp check.,25
Device status changed to Up from icmp check.,25
ifVlan: 1 -> NULL,25
Fanspeed under threshold: 4095 rpm (< 4860 rpm),25
ifConnectorPresent: true -> NULL,25
ifAlias:  -> ppp70,24
ifDuplex: unknown -> fullDuplex,24
ifDescr:  -> ppp70,24
Fanspeed under threshold: 4110 rpm (< 4860 rpm),24
ifDuplex: fullDuplex -> unknown,22
ifAlias:  -> ppp107,22
ifDescr:  -> ppp107,22
ifAlias:  -> ppp82,21
ifTrunk: dot1Q -> NULL,21
Temperature above threshold: -21 °C (> -980 °C),21
ifDescr:  -> ppp82,21
ifDescr:  -> ppp208,20
ifSpeed: 0 bps -> 1 Gbps,20
ifDescr:  -> ppp113,20
ifDescr:  -> ppp11,20
ifDescr:  -> ppp153,20
ifAlias:  -> ppp11,20
ifAlias:  -> ppp49,20
ifDescr:  -> ppp49,20
ifAlias:  -> ppp113,20
ifDescr:  -> ppp96,20
ifAlias:  -> ppp96,20
ifAlias:  -> ppp153,20
ifDescr:  -> ppp58,20
ifAlias:  -> ppp208,20
ifAlias:  -> ppp58,20
ifDuplex: fullDuplex -> NULL,19
ifAlias:  -> ppp118,19
ifDescr:  -> ppp118,19
Fanspeed above threshold: 6840 rpm (> 6750 rpm),18
ifAlias:  -> ppp317,18
ifDescr:  -> ppp317,18
ifAlias:  -> ppp182,18
ifDescr:  -> ppp182,18
ifAlias:  -> ppp120,17
ifDescr:  -> ppp120,17
ifDescr:  -> ppp121,17
ifAlias:  -> ppp121,17
ifAlias:  -> ppp131,16
ifDescr:  -> ppp90,16
Fanspeed under threshold: 4140 rpm (< 4860 rpm),16
Fanspeed under threshold: 4155 rpm (< 4860 rpm),16
ifAlias:  -> ppp90,16
ifAlias:  -> ppp36,16
ifMtu: 1600 -> NULL,16
ifDescr:  -> ppp36,16
ifAlias:  -> ppp250,16
ifDescr:  -> ppp178,16
ifDescr:  -> ppp328,16
ifDescr:  -> ppp131,16
ifAlias:  -> ppp178,16
ifDescr:  -> ppp250,16
ifAlias:  -> ppp328,16
ifSpeed: 25 Gbps -> 10 Gbps,16
ifAlias:  -> ppp133,15
Fanspeed under threshold: 4185 rpm (< 4860 rpm),15
ifAlias:  -> ppp214,15
ifDescr:  -> ppp133,15
Fanspeed under threshold: 4380 rpm (< 5232 rpm),15
ifDescr:  -> ppp214,15
Temperature above threshold: 64 °C (> 63 °C),15
Sensor Updated: current zxa10 1.1.3 Current Card,14
Sensor Updated: current zxa10 1.1.3 Current Card GTGOG,14
Sensor Updated: current zxa10 1.1.4 Current Card,14
Sensor Updated: current zxa10 1.1.4 Current Card GTGHG,14
Sensor Updated: current zxa10 1.1.5 Current Card,14
Sensor Updated: current zxa10 1.1.5 Current Card GTGHG,14
Sensor Updated: current zxa10 1.1.6 Current Card,14
Sensor Updated: current zxa10 1.1.6 Current Card GTGOG,14
Sensor Updated: power zxa10 1.1.2 Power Consumption Card,14
Sensor Updated: power zxa10 1.1.2 Power Consumption Card GTGOG,14
Sensor Updated: power zxa10 1.1.3 Power Consumption Card,14
Sensor Updated: power zxa10 1.1.3 Power Consumption Card GTGOG,14
Sensor Updated: power zxa10 1.1.4 Power Consumption Card,14
Sensor Updated: power zxa10 1.1.4 Power Consumption Card GTGHG,14
Sensor Updated: power zxa10 1.1.5 Power Consumption Card,14
Sensor Updated: power zxa10 1.1.5 Power Consumption Card GTGHG,14
Sensor Updated: power zxa10 1.1.6 Power Consumption Card,14
Sensor Updated: power zxa10 1.1.6 Power Consumption Card GTGOG,14
Sensor Updated: temperature zxa10 1.1.0 Temp Card,14
Sensor Updated: temperature zxa10 1.1.1 Temp Card,14
Sensor Updated: temperature zxa10 1.1.10 Temp Card,14
Sensor Updated: temperature zxa10 1.1.10 Temp Card SCXM,14
ifAlias:  -> ppp240,14
Sensor Updated: temperature zxa10 1.1.11 Temp Card,14
Sensor Updated: temperature zxa10 1.1.19 Temp Card,14
Sensor Updated: temperature zxa10 1.1.19 Temp Card HUVQ,14
Sensor Updated: temperature zxa10 1.1.2 Temp Card,14
Sensor Updated: temperature zxa10 1.1.2 Temp Card GTGOG,14
Sensor Updated: temperature zxa10 1.1.3 Temp Card,14
Sensor Updated: temperature zxa10 1.1.3 Temp Card GTGOG,14
Sensor Updated: temperature zxa10 1.1.4 Temp Card,14
Sensor Updated: temperature zxa10 1.1.4 Temp Card GTGHG,14
Sensor Updated: temperature zxa10 1.1.5 Temp Card,14
Fanspeed under threshold: 4125 rpm (< 4860 rpm),14
Fanspeed under threshold: 4170 rpm (< 4860 rpm),14
Sensor Updated: temperature zxa10 1.1.5 Temp Card GTGHG,14
Sensor Updated: temperature zxa10 1.1.6 Temp Card,14
Sensor Updated: temperature zxa10 1.1.6 Temp Card GTGOG,14
Sensor Updated: voltage zxa10 1.1.2 Voltage Card,14
Sensor Updated: voltage zxa10 1.1.2 Voltage Card GTGOG,14
Sensor Updated: voltage zxa10 1.1.3 Voltage Card,14
Sensor Updated: voltage zxa10 1.1.3 Voltage Card GTGOG,14
Sensor Updated: voltage zxa10 1.1.4 Voltage Card,14
Sensor Updated: voltage zxa10 1.1.4 Voltage Card GTGHG,14
Sensor Updated: voltage zxa10 1.1.5 Voltage Card,14
Sensor Updated: voltage zxa10 1.1.5 Voltage Card GTGHG,14
Sensor Updated: voltage zxa10 1.1.6 Voltage Card,14
Sensor Updated: voltage zxa10 1.1.6 Voltage Card GTGOG,14
ifAlias:  -> ppp47,14
ifDescr:  -> ppp124,14
ifDescr:  -> ppp240,14
ifDescr:  -> ppp27,14
ifDescr:  -> ppp306,14
