device_id,inserted,hostname,sysName,display,ip,overwrite_ip,community,authlevel,authname,authpass,authalgo,cryptopass,cryptoalgo,snmpver,port,transport,timeout,retries,snmp_disable,bgpLocalAs,sysObjectID,sysDescr,sysContact,version,hardware,features,location_id,os,status,status_reason,ignore,disabled,uptime,agent_uptime,last_polled,last_poll_attempted,last_polled_timetaken,last_discovered_timetaken,last_discovered,last_ping,last_ping_timetaken,purpose,type,serial,icon,poller_group,override_sysLocation,notes,port_association_mode,max_depth,disable_notify,ignore_status,dependency_parent_id,dependency_parent_hostname,location,lat,lng
6,2025-10-29 23:42:34,10.246.0.114,coremlg#2,CoreMLG_#2 Malang,10.246.0.114,,ts-nmc,,,,,,,v2c,161,udp,,,0,,.1.3.6.1.4.1.14988.1,RouterOS CCR1036-12G-4S 7.22.2 (stable),mlg,7.22.2,CCR1036-12G-4S 7.22.2 (stable),Level 6,4.0,routeros,1,,0,0,5910306,0,2026-07-06 13:44:57,,13.403414011002,21.159,2026-07-06 13:00:22,2026-07-06 13:44:45,0.381,,network,5298044AECF2,mikrotik.svg,0,0,,1,0,0,0,,,noc@naratel.net.id,,
35,2026-02-13 15:39:50,10.246.0.178,vm02.naratel.net.id,VM1 10.246.0.178 Malang,10.246.0.178,,ts-nmc,,,,,,,v2c,161,udp,,,0,,.1.3.6.1.4.1.6876.4.1,"VMware ESXi 6.5.0 build-8294253 VMware, Inc. x86_64",noc@naratel.net.id,6.5.0,HP ProLiant DL380 Gen9,build 8294253,2.0,vmware-esxi,1,,0,0,12542257,0,2026-07-06 13:45:26,,5.8601999282837,5.882,2026-07-06 13:00:25,2026-07-06 13:45:21,0.585,,server,,vmware.svg,0,0,,1,0,0,0,,,MLG,,
13,2025-10-29 23:47:30,10.246.0.242,kantor_olt,OLT Kantor Malang,10.246.0.242,,ts-nmc,,,,,,,v2c,161,udp,,,0,,.1.3.6.1.4.1.3902.1082.1001.300.2.1,"C300 Version V2.1.0 Software, Copyright (c) by ZTE Corporation Compiled",0341-4345806,,,,6.0,zxa10,1,,0,0,16059378,0,2026-07-06 13:47:14,,17.734073162079,18.339,2026-07-06 13:00:19,2026-07-06 13:46:57,2.87,,network,,zte.svg,0,0,,1,0,0,0,,,"Jl. Puncak Borobudur, Mojolangu, Kec. Lowokwaru, Kota Malang, Jawa Timur",,
7,2025-10-29 23:43:41,10.246.1.38,core kapten kantor,Core Kapten Kantor Malang,10.246.1.38,,ts-nmc,,,,,,,v2c,161,udp,,,0,,.1.3.6.1.4.1.14988.1,RouterOS x86 7.22.2 (stable),,7.22.2,x86 7.22.2 (stable),Level 6,,routeros,1,,0,0,5143059,0,2026-07-06 13:45:00,,21.137115001678,15.921,2026-07-06 13:00:17,2026-07-06 13:49:40,0.346,,network,,mikrotik.svg,0,0,,1,0,0,0,,,,,
8,2025-10-29 23:44:12,10.246.1.50,core dial kapten naratel,Core Joni Kapten Malang,10.246.1.50,,ts-nmc,,,,,,,v2c,161,udp,,,0,,.1.3.6.1.4.1.14988.1,RouterOS x86,noc@naratel.net.id,7.12.1,x86,Level 6,2.0,routeros,1,,0,0,16059533,0,2026-07-06 13:46:38,,21.061948060989,19.123,2026-07-06 13:00:20,2026-07-06 13:46:18,0.564,,network,,mikrotik.svg,0,0,,1,0,0,0,,,MLG,,
25,2025-11-03 18:11:27,10.246.15.110,olt_bangil,OLT Bangil Pasuruan,10.246.15.110,,ts-nmc,,,,,,,v2c,161,udp,,,0,,.1.3.6.1.4.1.3902.1082.1001.320.2.1,"C320 Version V2.1.0 Software, Copyright (c) by ZTE Corporation Compiled",0341-4345806,,,,14.0,zxa10,1,,0,0,15798595,0,2026-07-06 13:48:52,,5.4449999332428,11.919,2026-07-06 13:00:26,2026-07-06 13:48:48,4.1,,network,,zte.svg,0,0,,1,0,0,0,,,"Jl. TVRI, Oro-Oro Ombo, Kec. Batu, Kota Batu, Jawa Timur 65316",,
19,2025-10-30 00:01:21,10.246.15.18,core_pasuruan,Core Dsitri Pasuruan,10.246.15.18,,ts-nmc,,,,,,,v2c,161,udp,,,0,,.1.3.6.1.4.1.14988.1,RouterOS CCR1036-8G-2S+,@malang,6.49.19,CCR1036-8G-2S+,Level 6,3.0,routeros,1,,0,0,2149745,0,2026-07-06 13:46:02,,8.2820720672607,11.377,2026-07-06 13:00:12,2026-07-06 13:45:55,1.78,,network,D83B0CED7CC9,mikrotik.svg,0,0,,1,0,0,0,,,Malang,,
21,2025-10-30 00:03:09,10.246.15.202,superstar kapten naratel,Core Superstar Pasuruan,10.246.15.202,,ts-nmc,,,,,,,v2c,161,udp,,,0,,.1.3.6.1.4.1.14988.1,RouterOS CCR1016-12G,noc@naratel.net.id,6.48.6,CCR1016-12G,Level 6,10.0,routeros,1,,0,0,2149512,0,2026-07-06 13:46:37,,6.0264530181885,9.948,2026-07-06 13:00:23,2026-07-06 13:46:32,1.42,,network,916308F44287,mikrotik.svg,0,0,,1,0,0,0,,,Pasuruan,,
9,2025-10-29 23:44:43,10.246.15.22,(kp) kaptennaratelpasuruan,Core Kapten KP Pasuruan,10.246.15.22,,ts-nmc,,,,,,,v2c,161,udp,,,0,,.1.3.6.1.4.1.14988.1,RouterOS x86 7.22.2 (stable),ts-nmc,7.22.2,x86 7.22.2 (stable),Level 6,1.0,routeros,1,,0,0,2148682,0,2026-07-06 13:45:40,,31.060047149658,17.512,2026-07-06 13:00:18,2026-07-06 13:45:10,1.44,,,,mikrotik.svg,0,0,,1,0,0,0,,,"Jl. Puncak Borobudur, Mojolangu, Kec. Lowokwaru, Kota Malang, Jawa Timur 65142",,
38,2026-02-26 13:25:07,10.246.15.38,c600-pas,OLT C600 Pasuruan,10.246.15.38,,ts-nmc,,,,,,,v2c,161,udp,,,0,,.1.3.6.1.4.1.3902.1082.1001.600.1.1,"ZXA10 C600, ZTE ZXA10 Software Version: V2.0.0",,,,,21.0,zxa10,1,,0,0,6487714,0,2026-07-06 13:48:19,,23.946341991425,41.652,2026-07-06 13:01:02,2026-07-06 13:47:56,1.93,,network,,zte.svg,0,1,,1,0,0,0,,,"Jl. Margo Utomo No.32, Kebonagung, Kec. Purworejo, Kota Pasuruan, Jawa Timur 67111",,
29,2025-12-13 15:34:32,10.246.15.66,nrt-nexn9k-pas,NRT-NEXUSN9K-Pasuruan,10.246.15.66,,ts-nmc,,,,,,,v2c,161,udp,,,0,,.1.3.6.1.4.1.9.12.3.1.3.1812,"Cisco NX-OS(tm) nxos.9.3.6.bin, Software (nxos), Version 9.3(6), RELEASE SOFTWARE Copyright (c) 2002-2020 by Cisco Systems, Inc. Compiled 11/9/2020 23:00:00",,9.3(6),N9K-C93180YC-EX,,,nxos,1,,0,0,2149580,0,2026-07-06 13:45:18,,32.781413078308,153.989,2026-07-06 13:02:49,2026-07-06 13:44:46,1.71,,,FDO213717TT,cisco.svg,0,0,,1,0,0,0,,,,,
10,2025-10-29 23:45:08,10.246.15.90,(km) kaptennaratelpasuruan,Core Kapten KM Pasuruan,10.246.15.90,,ts-nmc,,,,,,,v2c,161,udp,,,0,,.1.3.6.1.4.1.14988.1,RouterOS x86 7.22.2 (stable),ts-nmc,7.22.2,x86 7.22.2 (stable),Level 6,1.0,routeros,1,,0,0,2148597,0,2026-07-06 13:45:07,,25.096623182297,17.334,2026-07-06 13:00:18,2026-07-06 13:44:43,1.29,,network,,mikrotik.svg,0,0,,1,0,0,0,,,"Jl. Puncak Borobudur, Mojolangu, Kec. Lowokwaru, Kota Malang, Jawa Timur 65142",,
15,2025-10-29 23:48:14,10.246.2.126,batunewolt,OLT Batu Malang,10.246.2.126,,ts-nmc,,,,,,,v2c,161,udp,,,0,,.1.3.6.1.4.1.3902.1082.1001.300.2.1,"C300 Version V2.1.0 Software, Copyright (c) by ZTE Corporation Compiled",HP/WA +6285241479825,,,,8.0,zxa10,1,,0,0,33434331,0,2026-07-06 13:44:48,,7.5292661190033,15.531,2026-07-06 13:00:17,2026-07-06 13:44:42,1.62,,network,,zte.svg,0,0,,1,0,0,0,,,"jl.gondorejo,oro-oro ombo kec.batu jawatimur",,
45,2026-03-27 14:52:55,10.246.2.154,nrt1-nas83b08e,NAS - Naratel Malang,10.246.2.154,,public,,,,,,,v2c,161,udp,,,0,,.1.3.6.1.4.1.55062,Linux TS-X32U 5.2.8.3359,,5.2.8,TS-432PXU-RP,,,qnap,1,,0,0,5192758,0,2026-07-06 13:45:10,,5.9033019542694,15.14,2026-07-06 13:00:41,2026-07-06 13:45:05,0.583,,storage,QPWTC01117V,qnap.svg,0,0,,1,0,0,0,,,,,
36,2026-02-13 15:42:29,10.246.2.166,vm03.naratel.net.id,VM3 10.246.2.166 Malang,10.246.2.166,,ts-nmc,,,,,,,v2c,161,udp,,,0,,.1.3.6.1.4.1.6876.4.1,"VMware ESXi 6.7.0 build-14320388 VMware, Inc. x86_64",,6.7.0,HP ProLiant DL380 Gen9,build 14320388,,vmware-esxi,1,,0,0,16059846,0,2026-07-06 13:45:57,,6.338958978653,7.02,2026-07-06 13:00:27,2026-07-06 13:45:52,0.677,,server,SGH715XK7J,vmware.svg,0,0,,1,0,0,0,,,,,
44,2026-03-27 14:36:39,10.246.2.178,server,Proxmox OMDT Surabaya,10.246.2.178,,public,,,,,,,v2c,161,udp,,,0,,.1.3.6.1.4.1.8072.3.2.10,Linux server 6.17.13-2-pve #1 SMP PREEMPT_DYNAMIC PMX 6.17.13-2 (2026-03-13T08:06Z) x86_64,Me <me@example.org>,6.17.13-2-pve,Generic x86 64-bit,,16.0,proxmox,1,,0,0,2040169,0,2026-07-06 13:44:42,,3.0371239185333,5.019,2026-07-06 13:00:30,2026-07-06 13:49:40,4.67,,server,,proxmox.svg,0,0,,1,0,0,0,,,Sitting on the Dock of the Bay,,
16,2025-10-29 23:48:31,10.246.2.218,joniolt-c600,OLT JoniC600 Malang,10.246.2.218,,ts-nmc,,,,,,,v2c,161,udp,,,0,,.1.3.6.1.4.1.3902.1082.1001.600.1.1,"ZXA10 C600, ZTE ZXA10 Software Version: V2.0.0",,,,,20.0,zxa10,1,,0,0,31894848,0,2026-07-06 13:44:48,,7.4139609336853,20.235,2026-07-06 13:00:21,2026-07-06 13:44:42,1.01,,network,,zte.svg,0,1,,1,0,0,0,,,"Jl. Margo Basuki No.1, Jetis, Mulyoagung, Kec. Dau, Kabupaten Malang, Jawa Timur 65151",,
